w_MO,w_MDF,w_MSCM,f1_RMSE,f2_DIR,f3_Lip95
0.7586335314413574,0.2413664685586426,0.0,117.62761585339518,0.030020693549453,56008.88949894179
0.7591545260820999,0.2408454739179001,0.0,117.62970004513106,0.0299603587986923,56020.94892260506
0.6236608948093647,0.2681446529479572,0.108194452242678,117.5635211517736,0.0377428252217333,55508.81964795015
0.8333584597203822,0.1267101399164774,0.0399314003631403,118.10382365037098,0.0183900688393958,56298.06178904593
0.7173036696306552,0.1671855540077194,0.1155107763616253,117.96917265603768,0.0263485673535284,56085.599611138
0.8872506000714712,0.1127471958914779,2.2040370509050318e-06,118.18803198938464,0.0150484408396812,56691.488602112826
0.8371991761752667,0.1557621489885659,0.0070386748361672,117.98541014621264,0.0203739795949615,56185.76373488747
0.7753886174367847,0.2023583902653545,0.0222529922978607,117.7769497307062,0.0264474161718528,56078.2704900298
0.5989301881501686,0.4010698118498312,0.0,117.06069968385532,0.0483966874123882,55150.85324658716
0.7231053733582132,0.1812923837466693,0.0956022428951174,117.88833667167822,0.0271373725202997,55963.333902140985
0.7225599643776731,0.2774400356223268,0.0,117.48700480279916,0.0341921032167922,55732.81468595677
0.6336970807084101,0.3173872520014998,0.0489156672900901,117.33751017930436,0.0408854718130093,55342.77044350974
0.8421812452575743,0.1187325625147044,0.0390861922277211,118.14053770107463,0.0174213168197261,56456.44128719009
0.7257826088938407,0.2742173911061591,0.0,117.49926944645716,0.0338199419792076,55802.6870488956
0.7354912762282991,0.1858955015243787,0.0786132222473221,117.85565332235257,0.0269452605136167,55999.18782002355
0.81334621569553,0.1805911492230822,0.0060626350813878,117.87690144402151,0.0232245138096194,56105.11617223422
0.7071116413598757,0.2928883586401242,0.0,117.42902228586183,0.03597478407568,55613.2194104179
0.8291500897463249,0.1287902378266818,0.0420596724269932,118.09411697627137,0.0187242399763777,56317.75174117851
0.636487023534028,0.363512976465972,0.0,117.1810692472722,0.0440964580891947,55450.14308063992
0.84080076871124,0.158380346260083,0.000818885028677,117.97806698679548,0.020413275285335,56272.3569274314
0.5817491187075172,0.3231971036499825,0.0950537776425001,117.35397574804476,0.0435251412966661,55256.85225407628
0.6245712567714599,0.3754287432285402,0.0,117.14201337879815,0.0454622077163177,55357.03435921719
0.6708726366716654,0.3041410510346761,0.0249863122936583,117.38062367873962,0.038338475723644,55614.69615116701
0.8344790227389415,0.1471282297617299,0.0183927474993285,118.01775981731647,0.0198525456025556,56230.99983815303
0.8250992829125451,0.1734473105577909,0.001453406529664,117.91104637031594,0.0221958834459711,56136.44816275749
0.8946864253111845,0.1053135746888154,0.0,118.22322624151953,0.0141782371513211,56592.76297976736
0.8456035067093445,0.1340137374093251,0.0203827558813303,118.07618836302927,0.0184066896880135,56403.79696138264
0.7936846978463968,0.2063153021536032,0.0,117.7712171436642,0.0259558672768082,56131.84387391884
0.8436204448705867,0.1307886974967634,0.0255908576326497,118.08876373060411,0.018252818186394,56384.37384334613
0.6023928529579335,0.3976071470420664,0.0,117.0714627465496,0.0480007566590008,55193.41552217582
0.8976750053138323,0.1023249946861677,0.0,118.23746068713032,0.0138282743722399,56577.88892521551
0.5935927124245172,0.3628833480583281,0.0435239395171545,117.18269849127245,0.0458810041429829,55130.57805219417
